# P_bar,T_K,rho_kgm3,alpha_1_K,Cp_J_K_mol
1.00000e+05,1.70000e+03,7.74598e+03,-4.25770e+00,6.84009e+02
1.00000e+05,1.80000e+03,7.70219e+03,-4.23535e+00,7.10171e+02
1.00000e+05,1.90000e+03,7.65637e+03,-4.21325e+00,7.37420e+02
1.00000e+05,2.00000e+03,7.60846e+03,-4.19139e+00,7.65767e+02
1.00000e+05,2.10000e+03,7.55841e+03,-4.16972e+00,7.95246e+02
1.00000e+05,2.20000e+03,7.50617e+03,-4.14823e+00,8.25906e+02
1.00000e+05,2.30000e+03,7.45168e+03,-4.12687e+00,8.57815e+02
1.00000e+05,2.40000e+03,7.39487e+03,-4.10560e+00,8.91065e+02
1.00000e+05,2.50000e+03,7.33568e+03,-4.08438e+00,9.25769e+02
1.00000e+05,2.60000e+03,7.27404e+03,-4.06315e+00,9.62062e+02
1.00000e+05,2.70000e+03,7.20986e+03,-4.04185e+00,1.00011e+03
1.00000e+05,2.80000e+03,7.14306e+03,-4.02045e+00,1.04011e+03
1.00000e+05,2.90000e+03,7.07353e+03,-3.99885e+00,1.08229e+03
1.00000e+05,3.00000e+03,7.00117e+03,-3.97699e+00,1.12692e+03
1.00000e+05,3.10000e+03,6.92585e+03,-3.95481e+00,1.17432e+03
1.00000e+05,3.20000e+03,6.84741e+03,-3.93221e+00,1.22490e+03
1.00000e+05,3.30000e+03,6.76570e+03,-3.90913e+00,1.27906e+03
1.00000e+05,3.40000e+03,6.68054e+03,-3.88546e+00,1.33737e+03
1.00000e+05,3.50000e+03,6.59171e+03,-3.86120e+00,1.40030e+03
1.00000e+05,3.60000e+03,6.49898e+03,-3.83621e+00,1.46862e+03
1.00000e+05,3.70000e+03,6.40210e+03,-3.81050e+00,1.54298e+03
1.00000e+05,3.80000e+03,6.30080e+03,-3.78407e+00,1.62406e+03
1.00000e+05,3.90000e+03,6.19483e+03,-3.75701e+00,1.71243e+03
1.00000e+05,4.00000e+03,6.08393e+03,-3.72950e+00,1.80837e+03
1.00000e+05,4.10000e+03,5.96795e+03,-3.70193e+00,1.91149e+03
1.00000e+05,4.20000e+03,5.84686e+03,-3.67490e+00,2.02025e+03
1.00000e+05,4.30000e+03,5.72088e+03,-3.64936e+00,2.13118e+03
1.00000e+05,4.40000e+03,5.59062e+03,-3.62669e+00,2.23807e+03
1.00000e+05,4.50000e+03,5.45725e+03,-3.60864e+00,2.33147e+03
1.00000e+05,4.60000e+03,5.32258e+03,-3.59723e+00,2.39937e+03
1.00000e+05,4.70000e+03,5.18904e+03,-3.59432e+00,2.42977e+03
1.00000e+05,4.80000e+03,5.05940e+03,-3.60108e+00,2.41495e+03
1.00000e+05,4.90000e+03,4.93630e+03,-3.61757e+00,2.35490e+03
1.00000e+05,5.00000e+03,4.82178e+03,-3.64275e+00,2.25749e+03
1.00000e+05,5.10000e+03,4.71701e+03,-3.67481e+00,2.13512e+03
1.00000e+05,5.20000e+03,4.62229e+03,-3.71175e+00,2.00039e+03
1.00000e+05,5.30000e+03,4.53729e+03,-3.75174e+00,1.86332e+03
1.00000e+05,5.40000e+03,4.46128e+03,-3.79337e+00,1.73054e+03
1.00000e+05,5.50000e+03,4.39339e+03,-3.83562e+00,1.60574e+03
1.00000e+05,5.60000e+03,4.33269e+03,-3.87780e+00,1.49057e+03
1.00000e+05,5.70000e+03,4.27830e+03,-3.91950e+00,1.38536e+03
1.00000e+05,5.80000e+03,4.22945e+03,-3.96046e+00,1.28977e+03
1.00000e+05,5.90000e+03,4.18543e+03,-4.00055e+00,1.20307e+03
1.00000e+05,6.00000e+03,4.14566e+03,-4.03973e+00,1.12444e+03
1.00000e+05,6.10000e+03,4.10961e+03,-4.07799e+00,1.05301e+03
1.00000e+05,6.20000e+03,4.07684e+03,-4.11536e+00,9.87989e+02
1.00000e+05,6.30000e+03,4.04698e+03,-4.15190e+00,9.28631e+02
1.00000e+05,6.40000e+03,4.01969e+03,-4.18765e+00,8.74285e+02
1.00000e+05,6.50000e+03,3.99470e+03,-4.22269e+00,8.24378e+02
1.00000e+05,6.60000e+03,3.97177e+03,-4.25706e+00,7.78407e+02
1.00000e+05,6.70000e+03,3.95069e+03,-4.29085e+00,7.35935e+02
1.00000e+05,6.80000e+03,3.93127e+03,-4.32410e+00,6.96581e+02
1.00000e+05,6.90000e+03,3.91336e+03,-4.35690e+00,6.60015e+02
1.00000e+05,7.00000e+03,3.89682e+03,-4.38928e+00,6.25951e+02
1.00000e+05,7.10000e+03,3.88152e+03,-4.42131e+00,5.94138e+02
1.00000e+05,7.20000e+03,3.86736e+03,-4.45305e+00,5.64355e+02
1.00000e+05,7.30000e+03,3.85424e+03,-4.48456e+00,5.36410e+02
1.00000e+05,7.40000e+03,3.84207e+03,-4.51589e+00,5.10135e+02
1.00000e+05,7.50000e+03,3.83079e+03,-4.54709e+00,4.85380e+02
1.00000e+05,7.60000e+03,3.82031e+03,-4.57822e+00,4.62014e+02
1.00000e+05,7.70000e+03,3.81059e+03,-4.60933e+00,4.39919e+02
1.00000e+05,7.80000e+03,3.80156e+03,-4.64048e+00,4.18992e+02
1.00000e+05,7.90000e+03,3.79317e+03,-4.67173e+00,3.99140e+02
1.00000e+05,8.00000e+03,3.78539e+03,-4.70314e+00,3.80280e+02
1.00000e+05,8.10000e+03,3.77816e+03,-4.73476e+00,3.62337e+02
1.00000e+05,8.20000e+03,3.77146e+03,-4.76667e+00,3.45245e+02
1.00000e+05,8.30000e+03,3.76525e+03,-4.79893e+00,3.28944e+02
1.00000e+05,8.40000e+03,3.75949e+03,-4.83163e+00,3.13379e+02
1.00000e+05,8.50000e+03,3.75416e+03,-4.86484e+00,2.98500e+02
1.00000e+05,8.60000e+03,3.74923e+03,-4.89866e+00,2.84263e+02
1.00000e+05,8.70000e+03,3.74468e+03,-4.93319e+00,2.70627e+02
1.00000e+05,8.80000e+03,3.74049e+03,-4.96855e+00,2.57554e+02
1.00000e+05,8.90000e+03,3.73663e+03,-5.00486e+00,2.45012e+02
1.00000e+05,9.00000e+03,3.73309e+03,-5.04229e+00,2.32968e+02
1.00000e+05,9.10000e+03,3.72985e+03,-5.08102e+00,2.21393e+02
1.00000e+05,9.20000e+03,3.72690e+03,-5.12123e+00,2.10262e+02
1.00000e+05,9.30000e+03,3.72421e+03,-5.16319e+00,1.99551e+02
1.00000e+05,9.40000e+03,3.72178e+03,-5.20720e+00,1.89237e+02
1.00000e+05,9.50000e+03,3.71958e+03,-5.25365e+00,1.79300e+02
1.00000e+05,9.60000e+03,3.71762e+03,-5.30300e+00,1.69720e+02
1.00000e+05,9.70000e+03,3.71588e+03,-5.35587e+00,1.60479e+02
1.00000e+05,9.80000e+03,3.71434e+03,-5.41306e+00,1.51561e+02
1.00000e+05,9.90000e+03,3.71301e+03,-5.47566e+00,1.42952e+02
1.00000e+05,1.00000e+04,3.71186e+03,-5.54520e+00,1.34635e+02
1.00000e+05,1.01000e+04,3.71089e+03,-5.62396e+00,1.26599e+02
1.00000e+05,1.02000e+04,3.71009e+03,-5.71547e+00,1.18831e+02
1.00000e+05,1.03000e+04,3.70946e+03,-5.82577e+00,1.11319e+02
1.00000e+05,1.04000e+04,3.70898e+03,-5.96640e+00,1.04052e+02
8.50000e+05,1.70000e+03,1.02007e+04,-4.81013e+00,5.05606e+02
8.50000e+05,1.80000e+03,1.01847e+04,-4.79551e+00,5.15096e+02
8.50000e+05,1.90000e+03,1.01681e+04,-4.78119e+00,5.24909e+02
8.50000e+05,2.00000e+03,1.01510e+04,-4.76716e+00,5.35004e+02
8.50000e+05,2.10000e+03,1.01334e+04,-4.75342e+00,5.45342e+02
8.50000e+05,2.20000e+03,1.01152e+04,-4.73998e+00,5.55889e+02
8.50000e+05,2.30000e+03,1.00966e+04,-4.72683e+00,5.66613e+02
8.50000e+05,2.40000e+03,1.00774e+04,-4.71397e+00,5.77489e+02
8.50000e+05,2.50000e+03,1.00576e+04,-4.70140e+00,5.88491e+02
8.50000e+05,2.60000e+03,1.00374e+04,-4.68911e+00,5.99600e+02
8.50000e+05,2.70000e+03,1.00165e+04,-4.67710e+00,6.10798e+02
8.50000e+05,2.80000e+03,9.99522e+03,-4.66535e+00,6.22071e+02
8.50000e+05,2.90000e+03,9.97335e+03,-4.65386e+00,6.33406e+02
8.50000e+05,3.00000e+03,9.95096e+03,-4.64262e+00,6.44795e+02
8.50000e+05,3.10000e+03,9.92803e+03,-4.63161e+00,6.56230e+02
8.50000e+05,3.20000e+03,9.90458e+03,-4.62084e+00,6.67707e+02
8.50000e+05,3.30000e+03,9.88061e+03,-4.61029e+00,6.79221e+02
8.50000e+05,3.40000e+03,9.85611e+03,-4.59995e+00,6.90771e+02
8.50000e+05,3.50000e+03,9.83109e+03,-4.58982e+00,7.02357e+02
8.50000e+05,3.60000e+03,9.80555e+03,-4.57987e+00,7.13980e+02
8.50000e+05,3.70000e+03,9.77949e+03,-4.57011e+00,7.25641e+02
8.50000e+05,3.80000e+03,9.75292e+03,-4.56053e+00,7.37343e+02
8.50000e+05,3.90000e+03,9.72583e+03,-4.55111e+00,7.49090e+02
8.50000e+05,4.00000e+03,9.69824e+03,-4.54185e+00,7.60886e+02
8.50000e+05,4.10000e+03,9.67013e+03,-4.53275e+00,7.72734e+02
8.50000e+05,4.20000e+03,9.64152e+03,-4.52379e+00,7.84641e+02
8.50000e+05,4.30000e+03,9.61241e+03,-4.51498e+00,7.96610e+02
8.50000e+05,4.40000e+03,9.58279e+03,-4.50630e+00,8.08647e+02
8.50000e+05,4.50000e+03,9.55267e+03,-4.49777e+00,8.20751e+02
8.50000e+05,4.60000e+03,9.52206e+03,-4.48934e+00,8.32941e+02
8.50000e+05,4.70000e+03,9.49095e+03,-4.48104e+00,8.45211e+02
8.50000e+05,4.80000e+03,9.45936e+03,-4.47265e+00,8.57657e+02
8.50000e+05,4.90000e+03,9.42727e+03,-4.46481e+00,8.70007e+02
8.50000e+05,5.00000e+03,9.39470e+03,-4.45687e+00,8.82540e+02
8.50000e+05,5.10000e+03,9.36165e+03,-4.44906e+00,8.95165e+02
8.50000e+05,5.20000e+03,9.32812e+03,-4.44136e+00,9.07885e+02
8.50000e+05,5.30000e+03,9.29413e+03,-4.43378e+00,9.20697e+02
8.50000e+05,5.40000e+03,9.25966e+03,-4.42632e+00,9.33602e+02
8.50000e+05,5.50000e+03,9.22474e+03,-4.41897e+00,9.46606e+02
8.50000e+05,5.60000e+03,9.18935e+03,-4.41176e+00,9.59690e+02
8.50000e+05,5.70000e+03,9.15353e+03,-4.40467e+00,9.72856e+02
8.50000e+05,5.80000e+03,9.11725e+03,-4.39771e+00,9.86097e+02
8.50000e+05,5.90000e+03,9.08055e+03,-4.39088e+00,9.99404e+02
8.50000e+05,6.00000e+03,9.04342e+03,-4.38420e+00,1.01277e+03
8.50000e+05,6.10000e+03,9.00588e+03,-4.37766e+00,1.02618e+03
8.50000e+05,6.20000e+03,8.96794e+03,-4.37127e+00,1.03962e+03
8.50000e+05,6.30000e+03,8.92960e+03,-4.36503e+00,1.05308e+03
8.50000e+05,6.40000e+03,8.89088e+03,-4.35895e+00,1.06654e+03
8.50000e+05,6.50000e+03,8.85179e+03,-4.35304e+00,1.07998e+03
8.50000e+05,6.60000e+03,8.81236e+03,-4.34730e+00,1.09338e+03
8.50000e+05,6.70000e+03,8.77258e+03,-4.34173e+00,1.10672e+03
8.50000e+05,6.80000e+03,8.73249e+03,-4.33636e+00,1.11998e+03
8.50000e+05,6.90000e+03,8.69208e+03,-4.33116e+00,1.13314e+03
8.50000e+05,7.00000e+03,8.65140e+03,-4.32616e+00,1.14617e+03
8.50000e+05,7.10000e+03,8.61044e+03,-4.32136e+00,1.15904e+03
8.50000e+05,7.20000e+03,8.56924e+03,-4.31676e+00,1.17174e+03
8.50000e+05,7.30000e+03,8.52780e+03,-4.31236e+00,1.18422e+03
8.50000e+05,7.40000e+03,8.48616e+03,-4.30817e+00,1.19648e+03
8.50000e+05,7.50000e+03,8.44433e+03,-4.30418e+00,1.20848e+03
8.50000e+05,7.60000e+03,8.40234e+03,-4.30041e+00,1.22020e+03
8.50000e+05,7.70000e+03,8.36020e+03,-4.29685e+00,1.23162e+03
8.50000e+05,7.80000e+03,8.31793e+03,-4.29349e+00,1.24271e+03
8.50000e+05,7.90000e+03,8.27557e+03,-4.29035e+00,1.25345e+03
8.50000e+05,8.00000e+03,8.23312e+03,-4.28740e+00,1.26384e+03
8.50000e+05,8.10000e+03,8.19062e+03,-4.28466e+00,1.27384e+03
8.50000e+05,8.20000e+03,8.14808e+03,-4.28211e+00,1.28344e+03
8.50000e+05,8.30000e+03,8.10552e+03,-4.27976e+00,1.29264e+03
8.50000e+05,8.40000e+03,8.06296e+03,-4.27760e+00,1.30142e+03
8.50000e+05,8.50000e+03,8.02042e+03,-4.27562e+00,1.30977e+03
8.50000e+05,8.60000e+03,7.97793e+03,-4.27381e+00,1.31769e+03
8.50000e+05,8.70000e+03,7.93549e+03,-4.27217e+00,1.32517e+03
8.50000e+05,8.80000e+03,7.89313e+03,-4.27069e+00,1.33221e+03
8.50000e+05,8.90000e+03,7.85085e+03,-4.26936e+00,1.33882e+03
8.50000e+05,9.00000e+03,7.80869e+03,-4.26819e+00,1.34496e+03
8.50000e+05,9.10000e+03,7.76664e+03,-4.26716e+00,1.35068e+03
8.50000e+05,9.20000e+03,7.72472e+03,-4.26626e+00,1.35596e+03
8.50000e+05,9.30000e+03,7.68296e+03,-4.26548e+00,1.36080e+03
8.50000e+05,9.40000e+03,7.64135e+03,-4.26483e+00,1.36522e+03
8.50000e+05,9.50000e+03,7.59990e+03,-4.26429e+00,1.36921e+03
8.50000e+05,9.60000e+03,7.55864e+03,-4.26386e+00,1.37278e+03
8.50000e+05,9.70000e+03,7.51757e+03,-4.26353e+00,1.37594e+03
8.50000e+05,9.80000e+03,7.47669e+03,-4.26330e+00,1.37868e+03
8.50000e+05,9.90000e+03,7.43602e+03,-4.26317e+00,1.38102e+03
8.50000e+05,1.00000e+04,7.39556e+03,-4.26313e+00,1.38295e+03
8.50000e+05,1.01000e+04,7.35532e+03,-4.26319e+00,1.38447e+03
8.50000e+05,1.02000e+04,7.31531e+03,-4.26333e+00,1.38560e+03
8.50000e+05,1.03000e+04,7.27553e+03,-4.26356e+00,1.38634e+03
8.50000e+05,1.04000e+04,7.23600e+03,-4.26388e+00,1.38667e+03
1.60000e+06,1.70000e+03,1.15773e+04,-5.03607e+00,4.60942e+02
1.60000e+06,1.80000e+03,1.15665e+04,-5.02395e+00,4.67072e+02
1.60000e+06,1.90000e+03,1.15554e+04,-5.01203e+00,4.73480e+02
1.60000e+06,2.00000e+03,1.15440e+04,-5.00032e+00,4.80137e+02
1.60000e+06,2.10000e+03,1.15323e+04,-4.98883e+00,4.87012e+02
1.60000e+06,2.20000e+03,1.15203e+04,-4.97755e+00,4.94078e+02
1.60000e+06,2.30000e+03,1.15080e+04,-4.96649e+00,5.01310e+02
1.60000e+06,2.40000e+03,1.14955e+04,-4.95564e+00,5.08684e+02
1.60000e+06,2.50000e+03,1.14826e+04,-4.94502e+00,5.16178e+02
1.60000e+06,2.60000e+03,1.14694e+04,-4.93461e+00,5.23771e+02
1.60000e+06,2.70000e+03,1.14559e+04,-4.92442e+00,5.31444e+02
1.60000e+06,2.80000e+03,1.14421e+04,-4.91447e+00,5.39181e+02
1.60000e+06,2.90000e+03,1.14280e+04,-4.90472e+00,5.46967e+02
1.60000e+06,3.00000e+03,1.14137e+04,-4.89518e+00,5.54788e+02
1.60000e+06,3.10000e+03,1.13990e+04,-4.88585e+00,5.62632e+02
1.60000e+06,3.20000e+03,1.13840e+04,-4.87673e+00,5.70488e+02
1.60000e+06,3.30000e+03,1.13687e+04,-4.86781e+00,5.78347e+02
1.60000e+06,3.40000e+03,1.13532e+04,-4.85908e+00,5.86200e+02
1.60000e+06,3.50000e+03,1.13373e+04,-4.85055e+00,5.94042e+02
1.60000e+06,3.60000e+03,1.13212e+04,-4.84219e+00,6.01866e+02
1.60000e+06,3.70000e+03,1.13048e+04,-4.83402e+00,6.09667e+02
1.60000e+06,3.80000e+03,1.12881e+04,-4.82602e+00,6.17443e+02
1.60000e+06,3.90000e+03,1.12711e+04,-4.81818e+00,6.25189e+02
1.60000e+06,4.00000e+03,1.12538e+04,-4.81051e+00,6.32904e+02
1.60000e+06,4.10000e+03,1.12362e+04,-4.80299e+00,6.40586e+02
1.60000e+06,4.20000e+03,1.12184e+04,-4.79561e+00,6.48235e+02
1.60000e+06,4.30000e+03,1.12003e+04,-4.78838e+00,6.55850e+02
1.60000e+06,4.40000e+03,1.11820e+04,-4.78128e+00,6.63432e+02
1.60000e+06,4.50000e+03,1.11633e+04,-4.77431e+00,6.70981e+02
1.60000e+06,4.60000e+03,1.11444e+04,-4.76746e+00,6.78499e+02
1.60000e+06,4.70000e+03,1.11253e+04,-4.76074e+00,6.85987e+02
1.60000e+06,4.80000e+03,1.11058e+04,-4.75412e+00,6.93447e+02
1.60000e+06,4.90000e+03,1.10861e+04,-4.74761e+00,7.00881e+02
1.60000e+06,5.00000e+03,1.10662e+04,-4.74120e+00,7.08291e+02
1.60000e+06,5.10000e+03,1.10460e+04,-4.73489e+00,7.15681e+02
1.60000e+06,5.20000e+03,1.10255e+04,-4.72868e+00,7.23052e+02
1.60000e+06,5.30000e+03,1.10048e+04,-4.72255e+00,7.30409e+02
1.60000e+06,5.40000e+03,1.09838e+04,-4.71650e+00,7.37753e+02
1.60000e+06,5.50000e+03,1.09626e+04,-4.71053e+00,7.45089e+02
1.60000e+06,5.60000e+03,1.09411e+04,-4.70464e+00,7.52419e+02
1.60000e+06,5.70000e+03,1.09194e+04,-4.69881e+00,7.59747e+02
1.60000e+06,5.80000e+03,1.08974e+04,-4.69306e+00,7.67076e+02
1.60000e+06,5.90000e+03,1.08752e+04,-4.68737e+00,7.74410e+02
1.60000e+06,6.00000e+03,1.08527e+04,-4.68173e+00,7.81753e+02
1.60000e+06,6.10000e+03,1.08300e+04,-4.67616e+00,7.89107e+02
1.60000e+06,6.20000e+03,1.08071e+04,-4.67064e+00,7.96476e+02
1.60000e+06,6.30000e+03,1.07839e+04,-4.66517e+00,8.03865e+02
1.60000e+06,6.40000e+03,1.07605e+04,-4.65976e+00,8.11275e+02
1.60000e+06,6.50000e+03,1.07368e+04,-4.65438e+00,8.18712e+02
1.60000e+06,6.60000e+03,1.07129e+04,-4.64906e+00,8.26177e+02
1.60000e+06,6.70000e+03,1.06887e+04,-4.64377e+00,8.33675e+02
1.60000e+06,6.80000e+03,1.06643e+04,-4.63853e+00,8.41209e+02
1.60000e+06,6.90000e+03,1.06397e+04,-4.63332e+00,8.48781e+02
1.60000e+06,7.00000e+03,1.06148e+04,-4.62816e+00,8.56396e+02
1.60000e+06,7.10000e+03,1.05897e+04,-4.62302e+00,8.64055e+02
1.60000e+06,7.20000e+03,1.05644e+04,-4.61793e+00,8.71763e+02
1.60000e+06,7.30000e+03,1.05388e+04,-4.61287e+00,8.79521e+02
1.60000e+06,7.40000e+03,1.05130e+04,-4.60784e+00,8.87332e+02
1.60000e+06,7.50000e+03,1.04869e+04,-4.60284e+00,8.95199e+02
1.60000e+06,7.60000e+03,1.04606e+04,-4.59788e+00,9.03124e+02
1.60000e+06,7.70000e+03,1.04341e+04,-4.59294e+00,9.11109e+02
1.60000e+06,7.80000e+03,1.04073e+04,-4.58804e+00,9.19156e+02
1.60000e+06,7.90000e+03,1.03804e+04,-4.58318e+00,9.27265e+02
1.60000e+06,8.00000e+03,1.03531e+04,-4.57834e+00,9.35440e+02
1.60000e+06,8.10000e+03,1.03257e+04,-4.57354e+00,9.43680e+02
1.60000e+06,8.20000e+03,1.02980e+04,-4.56877e+00,9.51986e+02
1.60000e+06,8.30000e+03,1.02701e+04,-4.56404e+00,9.60360e+02
1.60000e+06,8.40000e+03,1.02420e+04,-4.55934e+00,9.68799e+02
1.60000e+06,8.50000e+03,1.02136e+04,-4.55468e+00,9.77306e+02
1.60000e+06,8.60000e+03,1.01850e+04,-4.55006e+00,9.85878e+02
1.60000e+06,8.70000e+03,1.01562e+04,-4.54548e+00,9.94514e+02
1.60000e+06,8.80000e+03,1.01272e+04,-4.54095e+00,1.00321e+03
1.60000e+06,8.90000e+03,1.00979e+04,-4.53646e+00,1.01197e+03
1.60000e+06,9.00000e+03,1.00684e+04,-4.53202e+00,1.02079e+03
1.60000e+06,9.10000e+03,1.00387e+04,-4.52762e+00,1.02966e+03
1.60000e+06,9.20000e+03,1.00089e+04,-4.52329e+00,1.03858e+03
1.60000e+06,9.30000e+03,9.97875e+03,-4.51902e+00,1.04753e+03
1.60000e+06,9.40000e+03,9.94845e+03,-4.51480e+00,1.05654e+03
1.60000e+06,9.50000e+03,9.91794e+03,-4.51064e+00,1.06558e+03
1.60000e+06,9.60000e+03,9.88724e+03,-4.50655e+00,1.07465e+03
1.60000e+06,9.70000e+03,9.85635e+03,-4.50253e+00,1.08374e+03
1.60000e+06,9.80000e+03,9.82527e+03,-4.49859e+00,1.09283e+03
1.60000e+06,9.90000e+03,9.79401e+03,-4.49474e+00,1.10193e+03
1.60000e+06,1.00000e+04,9.76257e+03,-4.49097e+00,1.11102e+03
1.60000e+06,1.01000e+04,9.73097e+03,-4.48729e+00,1.12009e+03
1.60000e+06,1.02000e+04,9.69920e+03,-4.48371e+00,1.12913e+03
1.60000e+06,1.03000e+04,9.66728e+03,-4.48022e+00,1.13813e+03
1.60000e+06,1.04000e+04,9.63521e+03,-4.47685e+00,1.14707e+03
2.35000e+06,1.70000e+03,1.26060e+04,-5.17773e+00,4.38590e+02
2.35000e+06,1.80000e+03,1.25975e+04,-5.16707e+00,4.43132e+02
2.35000e+06,1.90000e+03,1.25888e+04,-5.15658e+00,4.47926e+02
2.35000e+06,2.00000e+03,1.25799e+04,-5.14626e+00,4.52950e+02
2.35000e+06,2.10000e+03,1.25708e+04,-5.13610e+00,4.58182e+02
2.35000e+06,2.20000e+03,1.25615e+04,-5.12611e+00,4.63601e+02
2.35000e+06,2.30000e+03,1.25520e+04,-5.11628e+00,4.69186e+02
2.35000e+06,2.40000e+03,1.25423e+04,-5.10661e+00,4.74918e+02
2.35000e+06,2.50000e+03,1.25324e+04,-5.09712e+00,4.80779e+02
2.35000e+06,2.60000e+03,1.25223e+04,-5.08780e+00,4.86751e+02
2.35000e+06,2.70000e+03,1.25120e+04,-5.07865e+00,4.92818e+02
2.35000e+06,2.80000e+03,1.25014e+04,-5.06967e+00,4.98964e+02
2.35000e+06,2.90000e+03,1.24907e+04,-5.06089e+00,5.05175e+02
2.35000e+06,3.00000e+03,1.24797e+04,-5.05225e+00,5.11440e+02
2.35000e+06,3.10000e+03,1.24685e+04,-5.04380e+00,5.17744e+02
2.35000e+06,3.20000e+03,1.24572e+04,-5.03551e+00,5.24078e+02
2.35000e+06,3.30000e+03,1.24456e+04,-5.02740e+00,5.30430e+02
2.35000e+06,3.40000e+03,1.24338e+04,-5.01946e+00,5.36793e+02
2.35000e+06,3.50000e+03,1.24218e+04,-5.01169e+00,5.43157e+02
2.35000e+06,3.60000e+03,1.24096e+04,-5.00408e+00,5.49515e+02
2.35000e+06,3.70000e+03,1.23972e+04,-4.99663e+00,5.55861e+02
2.35000e+06,3.80000e+03,1.23846e+04,-4.98935e+00,5.62188e+02
2.35000e+06,3.90000e+03,1.23718e+04,-4.98221e+00,5.68492e+02
2.35000e+06,4.00000e+03,1.23588e+04,-4.97523e+00,5.74769e+02
2.35000e+06,4.10000e+03,1.23457e+04,-4.96840e+00,5.81013e+02
2.35000e+06,4.20000e+03,1.23323e+04,-4.96171e+00,5.87223e+02
2.35000e+06,4.30000e+03,1.23187e+04,-4.95516e+00,5.93396e+02
2.35000e+06,4.40000e+03,1.23050e+04,-4.94870e+00,5.99533e+02
2.35000e+06,4.50000e+03,1.22910e+04,-4.94244e+00,6.05622e+02
2.35000e+06,4.60000e+03,1.22769e+04,-4.93630e+00,6.11669e+02
2.35000e+06,4.70000e+03,1.22626e+04,-4.93027e+00,6.17673e+02
2.35000e+06,4.80000e+03,1.22481e+04,-4.92436e+00,6.23633e+02
2.35000e+06,4.90000e+03,1.22334e+04,-4.91856e+00,6.29548e+02
2.35000e+06,5.00000e+03,1.22186e+04,-4.91286e+00,6.35420e+02
2.35000e+06,5.10000e+03,1.22036e+04,-4.90721e+00,6.41255e+02
2.35000e+06,5.20000e+03,1.21884e+04,-4.90180e+00,6.47027e+02
2.35000e+06,5.30000e+03,1.21730e+04,-4.89641e+00,6.52766e+02
2.35000e+06,5.40000e+03,1.21575e+04,-4.89112e+00,6.58463e+02
2.35000e+06,5.50000e+03,1.21418e+04,-4.88592e+00,6.64118e+02
2.35000e+06,5.60000e+03,1.21259e+04,-4.88080e+00,6.69732e+02
2.35000e+06,5.70000e+03,1.21099e+04,-4.87577e+00,6.75308e+02
2.35000e+06,5.80000e+03,1.20937e+04,-4.87082e+00,6.80845e+02
2.35000e+06,5.90000e+03,1.20773e+04,-4.86594e+00,6.86347e+02
2.35000e+06,6.00000e+03,1.20608e+04,-4.86114e+00,6.91814e+02
2.35000e+06,6.10000e+03,1.20441e+04,-4.85641e+00,6.97248e+02
2.35000e+06,6.20000e+03,1.20272e+04,-4.85174e+00,7.02651e+02
2.35000e+06,6.30000e+03,1.20102e+04,-4.84714e+00,7.08024e+02
2.35000e+06,6.40000e+03,1.19931e+04,-4.84260e+00,7.13370e+02
2.35000e+06,6.50000e+03,1.19758e+04,-4.83812e+00,7.18690e+02
2.35000e+06,6.60000e+03,1.19583e+04,-4.83370e+00,7.23986e+02
2.35000e+06,6.70000e+03,1.19407e+04,-4.82933e+00,7.29259e+02
2.35000e+06,6.80000e+03,1.19229e+04,-4.82501e+00,7.34513e+02
2.35000e+06,6.90000e+03,1.19050e+04,-4.82074e+00,7.39748e+02
2.35000e+06,7.00000e+03,1.18870e+04,-4.81650e+00,7.44972e+02
2.35000e+06,7.10000e+03,1.18688e+04,-4.81231e+00,7.50178e+02
2.35000e+06,7.20000e+03,1.18504e+04,-4.80817e+00,7.55371e+02
2.35000e+06,7.30000e+03,1.18319e+04,-4.80407e+00,7.60554e+02
2.35000e+06,7.40000e+03,1.18132e+04,-4.80001e+00,7.65729e+02
2.35000e+06,7.50000e+03,1.17944e+04,-4.79598e+00,7.70898e+02
2.35000e+06,7.60000e+03,1.17755e+04,-4.79199e+00,7.76062e+02
2.35000e+06,7.70000e+03,1.17564e+04,-4.78802e+00,7.81224e+02
2.35000e+06,7.80000e+03,1.17372e+04,-4.78409e+00,7.86385e+02
2.35000e+06,7.90000e+03,1.17178e+04,-4.78019e+00,7.91547e+02
2.35000e+06,8.00000e+03,1.16983e+04,-4.77632e+00,7.96713e+02
2.35000e+06,8.10000e+03,1.16787e+04,-4.77247e+00,8.01884e+02
2.35000e+06,8.20000e+03,1.16589e+04,-4.76864e+00,8.07062e+02
2.35000e+06,8.30000e+03,1.16389e+04,-4.76484e+00,8.12249e+02
2.35000e+06,8.40000e+03,1.16189e+04,-4.76106e+00,8.17446e+02
2.35000e+06,8.50000e+03,1.15987e+04,-4.75730e+00,8.22657e+02
2.35000e+06,8.60000e+03,1.15783e+04,-4.75356e+00,8.27881e+02
2.35000e+06,8.70000e+03,1.15578e+04,-4.74984e+00,8.33122e+02
2.35000e+06,8.80000e+03,1.15372e+04,-4.74614e+00,8.38381e+02
2.35000e+06,8.90000e+03,1.15164e+04,-4.74245e+00,8.43660e+02
2.35000e+06,9.00000e+03,1.14955e+04,-4.73878e+00,8.48961e+02
2.35000e+06,9.10000e+03,1.14745e+04,-4.73512e+00,8.54284e+02
2.35000e+06,9.20000e+03,1.14533e+04,-4.73148e+00,8.59633e+02
